[8768:36452:0518/121012.596:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[8768:36452:0518/121012.603:ERROR:persistent_memory_allocator.cc(908)] Corruption detected in shared-memory segment.
[8768:17712:0518/121013.026:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[8768:36452:0518/121013.290:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[8768:36452:0518/121026.548:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[15728:37428:0518/121029.402:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-A99FCF474E283F040EE391553C2B2338 will be ignored
[42176:12580:0518/121037.130:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 6-082686B10466725094D96C9833DF8484 will be ignored
[8768:6084:0518/122453.443:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=49})
[8768:6084:0518/122454.449:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=51})
[8768:6084:0518/122455.449:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=54})
[8768:6084:0518/122456.446:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=55})
[8768:6084:0518/122457.445:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=56})
[8768:6084:0518/122458.461:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=57})
[8768:6084:0518/122500.459:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=59})
[8768:6084:0518/122503.456:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=60})
[8768:6084:0518/122504.464:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=61})
[8768:6084:0518/122505.448:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=60})
[8768:6084:0518/122506.455:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=61})
[8768:6084:0518/122507.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=62})
[8768:6084:0518/122508.500:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=60})
[8768:6084:0518/122510.464:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=58})
[8768:6084:0518/122511.460:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=57})
[8768:6084:0518/122512.468:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=58})
[8768:6084:0518/122513.465:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=59})
[8768:6084:0518/122516.460:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=60})
[8768:6084:0518/122517.469:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=59})
[8768:6084:0518/122518.463:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=61})
[8768:6084:0518/122519.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=62})
[8768:6084:0518/122521.469:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007BDC000FB540}, {new_limit=65})
